DATE,DEWP,FRSHTT,GUST,MAX,MIN,MXSPD,PRCP,SLP,SNDP,STP,TEMP,VISIB,WDSP
1973/2/28,38.3,10000,999.9,46.4,35.6,13.6,0.04,1022.4,999.9,999.9,40.8,5.7,7.3
1973/3/1,31.3,0,999.9,42.8,30.2,9.7,0,1025.1,999.9,999.9,39,10.5,7.5
1973/3/2,31.1,0,999.9,48.2,33.8,9.7,0,1022.8,999.9,999.9,40.3,13,5.3
1973/3/3,37.4,10000,999.9,48.2,30.2,13.6,99.99,1017.7,999.9,999.9,43,8.9,7
1973/3/4,38.1,10000,999.9,50,33.8,13.6,99.99,1024.6,999.9,999.9,42.8,6.4,5.3
1973/3/5,32,11000,999.9,46.4,33.8,15.5,99.99,1026.1,999.9,999.9,40.3,7.9,9.5
1973/3/6,36,10000,999.9,39.2,33.8,13.6,0.83,1026.7,999.9,999.9,37.6,4.4,8.3
1973/3/7,36.5,10000,999.9,42.8,33.8,5.8,0.12,1029.1,999.9,999.9,39.2,4.8,2.7
1973/3/8,37.9,10000,999.9,50,28.4,21.4,0,1025.4,999.9,999.9,44.8,6.1,13.3
1973/3/9,44.9,10000,999.9,50,42.8,15.5,0.04,1018.1,999.9,999.9,46.7,3.6,7.5
1973/3/10,41.7,10000,999.9,48.2,42.8,9.7,1.5,1019.9,999.9,999.9,43.9,6.3,7
1973/3/11,43,0,999.9,48.2,41,7.8,0.24,1017.4,999.9,999.9,45.9,5.6,4.1
1973/3/12,39.9,10000,999.9,48.2,41,13.6,0,1020.9,999.9,999.9,44.8,6.3,8.7
1973/3/13,35.6,0,999.9,51.8,35.6,11.7,0.16,1025.1,999.9,999.9,45.7,11.3,9.5
1973/3/14,37.6,0,999.9,48.2,37.4,9.7,0,1026.3,999.9,999.9,43.5,8.5,5.1
1973/3/15,37.8,0,999.9,55.4,32,3.9,0,1025.1,999.9,999.9,45.3,5.8,1.5
1973/3/16,39.4,0,999.9,62.6,33.8,11.7,0,1025.5,999.9,999.9,50.2,9.2,5.8
1973/3/17,34.5,0,999.9,57.2,35.6,7.8,0,1026,999.9,999.9,47.8,13.4,4.4
1973/3/18,46.1,0,999.9,64.4,35.6,7.8,0,1023.8,999.9,999.9,53.3,9.7,2.5
1973/3/19,44.8,0,999.9,69.8,39.2,5.8,0,1020,999.9,999.9,59,10.8,2.4
1973/3/20,40.6,10000,999.9,69.8,42.8,19.4,99.99,1023.5,999.9,999.9,54.7,5.8,9.2
1973/3/21,32,0,999.9,57.2,39.2,7.8,0,1026.6,999.9,999.9,47.2,11.3,4.2
1973/3/22,37.9,10000,999.9,60.8,32,15.5,99.99,1018.8,999.9,999.9,53.6,10.5,5.8
1973/3/23,39.9,0,999.9,68,50,9.7,0,1020.2,999.9,999.9,58.5,8.5,6.1
1973/3/24,39.2,0,999.9,66.2,42.8,15.5,0,1025.3,999.9,999.9,53.4,9.2,11.9
1973/3/25,42.3,0,999.9,59,39.2,15.5,0,1023.5,999.9,999.9,51.1,7.2,10
1973/3/26,50.5,10000,999.9,69.8,48.2,7.8,99.99,1016.7,999.9,999.9,57.5,8.7,4.4
1973/3/27,51.1,0,999.9,84.2,48.2,15.5,0,1012.6,999.9,999.9,66.9,8.4,7.8
1973/3/28,59.5,10000,999.9,89.6,55.4,7.8,99.99,1012.9,999.9,999.9,72.3,8.4,4.1
1973/3/29,52.4,10000,999.9,69.8,51.8,9.7,99.99,1014.7,999.9,999.9,56.3,7.1,6.6
1973/3/30,54.5,0,999.9,62.6,51.8,3.9,0.12,1012.5,999.9,999.9,57.4,4.2,1.9
1973/3/31,52,0,999.9,64.4,50,9.7,0,1013.6,999.9,999.9,58.8,5.2,6.1
1973/4/1,43,10000,999.9,55.4,42.8,13.6,99.99,1013.8,999.9,999.9,49.1,7.4,8
1973/4/2,41,0,999.9,57.2,37.4,7.8,0.16,1020.1,999.9,999.9,50.9,10.8,3.9
1973/4/3,42.3,0,999.9,55.4,42.8,5.8,0,1018.3,999.9,999.9,50.5,8.3,3.6
1973/4/4,41,0,999.9,64.4,37.4,9.7,0,1019.5,999.9,999.9,52.5,9.3,3.9
1973/4/5,46,0,999.9,68,37.4,7.8,0,1018.9,999.9,999.9,58.8,9.3,3.2
1973/4/6,52.7,0,999.9,73.4,51.8,9.7,0,1013.9,999.9,999.9,61.9,10.8,4.4
1973/4/7,58.2,10000,999.9,75.2,51.8,13.6,99.99,1011.1,999.9,999.9,69,11.7,7.5
1973/4/8,61.9,10000,999.9,73.4,62.6,9.7,99.99,1009.2,999.9,999.9,67.1,9.1,6.6
1973/4/9,61.4,10000,999.9,69.8,59,7.8,99.99,1010.5,999.9,999.9,64.7,6,5.1
1973/4/10,60.6,10000,999.9,68,57.2,11.7,99.99,1005.8,999.9,999.9,62.8,4.7,7.3
1973/4/11,47.5,10000,999.9,62.6,46.4,19.4,0.24,1014.4,999.9,999.9,50,5.7,6.6
1973/4/12,47.1,0,999.9,68,39.2,5.8,0.08,1018.8,999.9,999.9,59.4,8.4,2.2
1973/4/13,53.4,10000,999.9,69.8,48.2,11.7,0,1014.3,999.9,999.9,60.3,7.6,6.8
1973/4/14,55.8,10000,999.9,66.2,53.6,9.7,0.43,1010.2,999.9,999.9,57.9,4.3,5.1
1973/4/15,52.5,10010,999.9,75.2,51.8,7.8,0.98,1010.5,999.9,999.9,58.8,7.4,5.6
1973/4/16,52.7,10000,999.9,59,51.8,13.6,1.1,1016.5,999.9,999.9,55.2,6,6.3
1973/4/17,46.6,0,999.9,66.2,51.8,7.8,0.67,1023.1,999.9,999.9,57.2,10,2.7
1973/4/18,50.7,0,999.9,68,51.8,9.7,0,1017.7,999.9,999.9,60.6,9.7,4.4
1973/4/19,53.8,0,999.9,77,55.4,11.7,0,1012.5,999.9,999.9,67.1,9.8,5.8
1973/4/20,57.4,0,999.9,71.6,53.6,7.8,0,1010.9,999.9,999.9,65.5,9.9,2.2
1973/4/21,57.2,0,999.9,82.4,57.2,11.7,0,1011.6,999.9,999.9,67.8,15.1,6.3
1973/4/22,64,10000,999.9,77,57.2,11.7,99.99,1006.7,999.9,999.9,70.9,10.7,7.5
1973/4/23,61.8,10010,999.9,73.4,60.8,17.5,0.35,1005,999.9,999.9,66.2,8.9,8.6
1973/4/24,64.4,0,999.9,84.2,66.2,7.8,0.08,1009.3,999.9,999.9,72.1,11.3,3.1
1973/4/25,61.8,10010,999.9,84.2,60.8,17.5,0,1011.5,999.9,999.9,69.5,8.2,7.5
1973/4/26,49.2,0,999.9,69.8,46.4,11.7,0.75,1015.8,999.9,999.9,60.5,13.6,6.7
1973/4/27,45.4,0,999.9,82.4,48.2,11.7,0,1013.4,999.9,999.9,66,11.4,7.8
1973/4/28,59.9,0,999.9,82.4,55.4,7.8,0,1010.1,999.9,999.9,73,10.7,4.1
1973/4/29,61.6,10010,999.9,73.4,64.4,13.6,99.99,1010.6,999.9,999.9,67.7,8.4,8
1973/4/30,68.9,10000,999.9,89.6,55.4,11.7,99.99,1003.2,999.9,999.9,73,4.2,7.5
1973/5/1,60.8,0,999.9,71.6,59,15.5,1.65,1006.4,999.9,999.9,64.8,12.6,10.7
1973/5/2,58.7,0,999.9,75.2,59,11.7,0,1011.9,999.9,999.9,67.1,11.3,7.3
1973/5/3,50.8,10000,999.9,62.6,48.2,13.6,99.99,1017.4,999.9,999.9,55.1,8.6,7.2
1973/5/4,45.6,0,999.9,69.8,46.4,7.8,0.12,1018.9,999.9,999.9,61.1,13.1,4.2
1973/5/5,59,10000,999.9,77,53.6,15.5,0,1011.3,999.9,999.9,68.3,12.9,6.4
1973/5/6,68.3,10010,999.9,71.6,66.2,7.8,0.04,1003.6,999.9,999.9,69,4,6.9
1973/5/7,60.1,10000,999.9,71.6,51.8,9.7,1.57,1007.7,999.9,999.9,64.4,8.8,7.5
1973/5/8,52.8,0,999.9,71.6,53.6,9.7,0.12,1015.7,999.9,999.9,63.1,12.1,4.7
1973/5/9,48.7,0,999.9,75.2,53.6,5.8,0,1018.2,999.9,999.9,64.8,12.7,3.2
1973/5/10,53.9,10000,999.9,78.8,55.4,17.5,99.99,1018.7,999.9,999.9,69.5,12.6,8
1973/5/11,48,0,999.9,71.6,50,15.5,0,1015,999.9,999.9,60.6,16.3,7.3
1973/5/12,59.5,0,999.9,75.2,53.6,5.8,0,1010.2,999.9,999.9,65.9,9.5,1.9
1973/5/13,59.5,10000,999.9,77,59,9.7,99.99,1012.1,999.9,999.9,69.8,8.2,7.8
1973/5/14,62.4,10000,999.9,69.8,64.4,15.5,99.99,1009.7,999.9,999.9,65.1,7.1,9
1973/5/15,64.8,10000,999.9,69.8,64.4,5.8,0.16,1004.8,999.9,999.9,66.9,7.4,3.4
1973/5/16,61,10000,999.9,69.8,62.6,11.7,0.08,1006.1,999.9,999.9,65.3,9.3,5.8
1973/5/17,56.8,10000,999.9,68,57.2,9.7,0,1008.8,999.9,999.9,62.8,6.9,6.6
1973/5/18,53.3,0,999.9,77,55.4,11.7,0,1008.9,999.9,999.9,68.5,4.9,5
1973/5/19,55,10000,999.9,75.2,57.2,7.8,99.99,1010.2,999.9,999.9,66.4,5.7,3.6
1973/5/20,46.6,0,999.9,75.2,55.4,9.7,0,1014,999.9,999.9,67.5,14.3,5.6
1973/5/21,56.3,10000,999.9,84.2,60.8,11.7,99.99,1014.1,999.9,999.9,73.4,8.7,10.4
1973/5/22,58.6,10000,999.9,66.2,60.8,19.4,0.04,1017.1,999.9,999.9,62.6,8.9,15.5
1973/5/23,55,10000,999.9,73.4,57.2,11.7,0.08,1020.9,999.9,999.9,64.8,8.1,8.7
1973/5/24,55.6,10000,999.9,82.4,57.2,17.5,0,1016.6,999.9,999.9,70,10.4,12.6
1973/5/25,63,10000,999.9,82.4,62.6,7.8,0.16,1008.6,999.9,999.9,67.3,5.6,4.1
1973/5/26,63.4,10000,999.9,75.2,62.6,9.7,0,1009.2,999.9,999.9,69,9.1,5.8
1973/5/27,62.8,10000,999.9,71.6,60.8,7.8,99.99,1010.5,999.9,999.9,66.7,6.8,3.4
1973/5/28,62.9,10000,999.9,78.8,64.4,5.8,99.99,1008.4,999.9,999.9,69.4,5.2,1.2
1973/5/29,58.6,0,999.9,84.2,64.4,5.8,0,1008.5,999.9,999.9,77.7,10.5,3.6
1973/5/30,66.9,10000,999.9,82.4,62.6,11.7,99.99,1006.5,999.9,999.9,74.8,8.3,5.3
1973/5/31,64.4,0,999.9,75.2,62.6,11.7,0,1007.8,999.9,999.9,69.3,7.9,6.7
1973/6/1,61,10000,999.9,80.6,62.6,11.7,99.99,1012.7,999.9,999.9,71.6,10.9,5.8
1973/6/2,55,0,999.9,78.8,62.6,11.7,0,1014.5,999.9,999.9,71.6,11.2,8.7
1973/6/3,56.5,0,999.9,80.6,62.6,15.5,0,1010.8,999.9,999.9,72.5,9.4,10.2
